NAICS_Code,NAICS_Title,NAICS_Description,Hiscox_COB,Hiscox_COB,COB_Group,PL,GL,BOP,Cyber,full_industry_code
236115,New Single-Family Housing Construction (except For-Sale Builders) ,Cabin construction general contractors,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,Cottage construction general contractors,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,"Custom builders (except for-sale), single-family home",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,"Duplex (i.e., side-by-side) construction general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,"Home builders (except for-sale), single-family",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,"Housing, single-family, construction general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,Log home construction general contractors,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,"Low income housing, single-family, construction general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,"Residential construction, single-family, general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,"Row house (i.e., single-family type) construction general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,Single-family attached housing construction general contractors,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,Single-family detached housing construction general contractors,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,Single-family house construction by general contractors,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236115,New Single-Family Housing Construction (except For-Sale Builders) ,"Vacation home, single-family, construction by general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,"Addition, alteration and renovation (i.e., construction), multifamily building",Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
236118,Residential Remodelers ,"Addition, alteration and renovation (i.e., construction), residential building",Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
236118,Residential Remodelers ,"Addition, alteration and renovation of single-family dwellings",Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
236118,Residential Remodelers ,"Addition, alteration and renovation, multifamily building, general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,"Addition, alteration and renovation, residential building, general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,"Addition, alteration and renovation, single-family housing, general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,"Building, residential, addition, alteration and renovation",Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
236118,Residential Remodelers ,"Handyman construction service, residential building",Handyperson (no roof work),Handyperson (no roof work),Small Contractors,N,Y,N,Y,23839000_49907100_01000000
236118,Residential Remodelers ,"Home improvement (e.g., adding on, remodeling, renovating)",Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
236118,Residential Remodelers ,"Home improvement (e.g., adding on, remodeling, renovating), multifamily building, general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,"Home improvement (e.g., adding on, remodeling, renovating), single-family housing, general contractors",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,Home renovation,Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
236118,Residential Remodelers ,"Porch construction, residential-type",Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
236118,Residential Remodelers ,"Remodeling and renovating general contractors, multifamily building",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,"Remodeling and renovating general contractors, residential",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,"Remodeling and renovating general contractors, single-family housing",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236118,Residential Remodelers ,Remodeling and renovating single-family housing,Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
236118,Residential Remodelers ,"Remodeling and renovating, residential building",Renovation contractor,Renovation contractor,Small Contractors,Y,N,N,N,23611800_15310000_00000000
