Input_Term,Hiscox_COB,Full_Industry_Code,PL,GL,BOP,Cyber,Source
Acupressure services,Acupressure services,62139900_29129100_01000000,Y,Y,Y,Y,Master
Acupuncture services,Acupuncture services,62139900_29129100_02000000,Y,Y,Y,Y,Master
Art therapy,Art therapy,62134000_29112500_01000000,Y,Y,Y,Y,Master
Audiology,Audiology,62134000_29118100_00000000,Y,Y,Y,Y,Master
Barber/beauty/cosmetology schools,Barber/beauty/cosmetology schools,61151100_39500000_00000000,N,N,N,Y,Master
Barber/hair stylist services,Barber/hair stylist services,81211100_39501100_00000000,Y,Y,Y,Y,Master
Beautician/cosmetology services,Beautician/cosmetology services,81211200_39501200_00000000,Y,Y,Y,Y,Master
"Child, Family, and School Social Workers","Child, Family, and School Social Workers",62419000_21102100_00000000,N,N,Y,Y,Master
Dance therapy,Dance therapy,62134000_29112500_02000000,Y,N,Y,Y,Master
Day/beauty spas,Day/beauty spas,81219900_39500000_00000000,N,N,N ,Y,Master
Diet/nutrition services,Diet/nutrition services,81219100_29103100_00000000,Y,Y,Y,Y,Master
Drama therapy,Drama therapy,62134000_29112500_03000000,Y,Y,Y,Y,Master
Esthetician services,Esthetician services,81211200_39509400_00000000,Y,Y,Y,Y,Master
First aid and CPR training,First aid and CPR training,61169900_21109100_00000000,Y,Y,Y,Y,Master
Healthcare Social Workers,Healthcare Social Workers,62419000_21102200_00000000,N,N,Y,Y,Master
Home health aide,Home health aide,62161000_31112100_01000000,Y,Y,N,Y,Master
Hypnosis,Hypnosis,62133000_19303900_01000000,Y,Y,Y,Y,Master
Marriage and family therapy,Marriage and family therapy,62419000_21101300_00000000,Y,Y,Y,Y,Master
Massage therapy,Massage therapy,62139900_31901100_00000000,Y,Y,N,Y,Master
Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Workers,62419000_21102300_00000000,N,N,Y,Y,Master
Mental health counseling,Mental health counseling,62133000_21101400_00000000,Y,Y,Y,Y,Master
Music therapy,Music therapy,62134000_29112500_04000000,Y,Y,Y,Y,Master
Nail technician services,Nail technician services,81211300_39509200_00000000,Y,Y,N,Y,Master
Occupational therapy,Occupational therapy,62134000_29112200_00000000,Y,Y,Y,Y,Master
Personal care aide,Personal care aide,62161000_31112100_02000000,Y,Y,N,Y,Master
Personal training (health and fitness),Personal training (health and fitness),61169900_29909100_01000000,Y,Y,N,Y,Master
Physical therapy,Physical therapy,62134000_29112300_00000000,N,N,Y,Y,Master
Psychology,Psychology,62133000_19303900_02000000,Y,Y,Y,Y,Master
Social work services,Social work services,62419000_21102900_00000000,Y,Y,Y,Y,Master
Speech therapy,Speech therapy,62134000_29112700_00000000,Y,Y,Y,Y,Master
Substance abuse counseling,Substance abuse counseling,62419000_21101100_00000000,Y,Y,Y,Y,Master
Yoga/pilates instruction,Yoga/pilates instruction,61169900_39903100_00000000,Y,Y,N,Y,Master
Aerospace engineering,Aerospace engineering,54133000_17201100_00000000,N,N,N,N,Master
Agency construction manager,Agency construction manager,54133000_11902100_01000000,Y,Y,Y,Y,Master
Agricultural engineering,Agricultural engineering,54133000_17202100_00000000,N,N,Y,Y,Master
Architectural and Civil Drafters,Architectural and Civil Drafters,54134000_17301100_00000000,N,N,Y,Y,Master
Architecture,Architecture,54131000_17101100_00000000,Y,Y,Y,Y,Master
Bioengineering,Bioengineering,54133000_17203100_00000000,N,N,N,N,Master
Building inspection,Building inspection,54135000_47401100_00000000,N,Y,Y,Y,Master
Chemical engineering,Chemical engineering,54133000_17204100_00000000,N,N,N,N,Master
Civil engineering,Civil engineering,54133000_17205100_00000000,N,N,N,N,Master
Computer Hardware engineering,Computer Hardware engineering,54133000_17206100_00000000,N,N,Y,Y,Master
Control systems integration/automation,Control systems integration/automation,54151200_51916200_00000000,Y,Y,Y,Y,Master
Draftsman (including CAD/CAM),Draftsman (including CAD/CAM),54134000_17301900_01000000,Y,Y,Y,Y,Master
Electrical and Electronics Drafters,Electrical and Electronics Drafters,54134000_17301200_00000000,N,N,Y,Y,Master
Electrical engineering,Electrical engineering,54133000_17207100_00000000,Y,Y,Y,Y,Master
Engineering,Engineering,54133000_17219900_01000000,Y,Y,Y,Y,Master
Environmental engineering,Environmental engineering,54133000_17208100_00000000,Y,Y,Y,Y,Master
Health and Safety Engineer,Health and Safety Engineer,54133000_17211100_00000000,N,N,N,N,Master
Industrial engineering,Industrial engineering,54133000_17211200_00000000,Y,Y,Y,Y,Master
Interior decorator,Interior decorator,54141000_27102500_01000100,N,N,Y,Y,Master
Interior design,Interior design,54141000_27102500_02000100,Y,Y,Y,Y,Master
Land surveyor,Land surveyor,54137000_17102200_00000000,Y,Y,Y,Y,Master
Landscape architect,Landscape architect,54132000_17101200_00000000,Y,Y,Y,Y,Master
Marine Enginnering and Naval Architect,Marine Enginnering and Naval Architect,54133000_17212100_00000000,N,N,N,N,Master
Materials engineering,Materials engineering,54133000_17213100_00000000,N,N,N,N,Master
Mechanical Drafters,Mechanical Drafters,54134000_17301300_00000000,N,N,Y,Y,Master
Mechanical engineering,Mechanical engineering,54133000_17214100_00000000,N,N,Y,Y,Master
Mining and Geological engineering,Mining and Geological engineering,54133000_17215100_00000000,N,N,N,N,Master
Nuclear engineering,Nuclear engineering,54133000_17216100_00000000,N,N,N,N,Master
Petroleum engineering,Petroleum engineering,54133000_17217100_00000000,N,N,N,N,Master
Process engineering,Process engineering,54133000_13111100_00000000,Y,Y,Y,Y,Master
Surveying/mapping services,Surveying/mapping services,54137000_17102000_00000000,N,N,Y,Y,Master
Transportation engineering,Transportation engineering,54133000_17219900_02000000,Y,Y,Y,Y,Master
Audio/Visual consulting,Audio/Visual consulting,54161800_13111100_01000000,N,N,Y,Y,Master
