Partner_Description,Hiscox_COB,full_industry_code
Accounting & Auditing,Accounting,54121100_13201100_01000000
Accounting School,OOA,0
Actuarial Services,Actuarial services,52429800_15201100_00000000
Acupuncturist,Acupuncture services,62139900_29129100_02000000
Administrative Support Service,Office administrative services,56111000_43601000_00000000
Adoption Agency,OOA,0
Adult Shelters / Transitional Housing,OOA,0
Aesthetician / Esthetician,Esthetician services,81211200_39509400_00000000
After-School Youth Program,OOA,0
Agricultural Consulting,Environmental consulting,54162000_13111100_00000000
Air Duct Cleaning,HVAC contractor,23822000_49902100_03000000
Air Traffic Control,OOA,0
Air Transportation,OOA,0
Airport Operations,OOA,0
"Alarm, Stereo or Navigational System",OOA,0
Alumni Association (Non Profit),Alumni non profit,81341000_11203300_00000000
Ambulance Services,OOA,0
Ambulatory Surgery Center,OOA,0
American Indian and Alaska Native Tribal Governments,OOA,0
Ammunition (except Small Arms) Manufacturing,OOA,0
Amusement and Theme Parks,OOA,0
Animal Aquaculture,OOA,0
Animal Shelter / Kennel,OOA,0
Answering Service,Answering/paging services,56142100_43201100_00000000
Antiques Store,Used Merchandise Stores,45331000_11101100_00000000
"Appliance Installation, Repair – Commercial",Appliance and accessories installation and repair,81141200_49909900_00000000
"Appliance Installation, Repair – Residential",Appliance and accessories installation and repair,81141200_49909900_00000000
Appliance Stores,Appliance/electronic stores,44314100_11101100_00000001
Application Service Provider,Application service provider,51821000_13119900_01000000
Appraiser / Antiques and Art Valuer / Equipment Appraiser,OOA,0
Appraiser / Auto,OOA,0
Appraiser / Personal Property,OOA,0
Apprenticeship Training,OOA,0
Aquarium Cleaning & Maintenance,OOA,0
Arcades,OOA,0
Architects,Architecture,54131000_17101100_00000000
Armored Car Services,OOA,0
Art Therapist,Art therapy,62134000_29112500_01000000
"Art, Hobby or Party Supplies Store",Hobby Supply Stores,45399800_11101100_00000005
"Art, Pictures or Posters Store","Art, Picture, & Poster Stores",44229900_11101100_00000001
Artists Supplies & Picture Frames Distributor,OOA,0
Athletic Footwear Store,Athletic Footwear Stores,44815000_11101100_00000001
Athletic Trainer,Personal training (health and fitness),61169900_29909100_01000000
Auctioneer,Auctioneering,45439000_41909900_00000000
Audiologist,Audiology,62134000_29118100_00000000
Audit Service – Non-Financial,OOA,0
Author,OOA,0
Auto Body Shop,OOA,0
Auto Detailing,OOA,0
Auto Dismantling / Salvage,OOA,0
Auto Hauler,OOA,0
Auto Painting with UL / NFPA approved spray booth,OOA,0
Auto Painting without UL / NFPA approved spray booth,OOA,0
Auto Parts & Supplies Distributor,OOA,0
Auto Parts Store,Automotive Parts & Accessories Stores,44131000_11101100_00000000
Auto Repair,OOA,0
Automotive Exhaust System Repair,OOA,0
Background Check / Screening Service,OOA,0
Bagel Shop,Bagel Shops,72251500_11101100_01000000
Bakery,Bakery shops,72251300_51301100_00000000
Bakery Distributor with cooking,OOA,0
Bakery Distributor without cooking,OOA,0
Balloon Art,Artists,71151000_27101000_00000000
Banquet Hall,OOA,0
Bar / Tavern,OOA,0
Barber & Beauty Supplies Distributor,OOA,0
Barber Shops,Barber/hair stylist services,81211100_39501100_00000000
"Beauty, Cosmetology, Hair Dressing or Barber School",Barber/beauty/cosmetology schools,61151100_39500000_00000000
Bed & Bath Linens Distributor,OOA,0
Beekeeping,OOA,0
"Beer, Liquor & Wine Store",Beverage Store - Beer and Wine,44531000_11101100_00000000
Behavior Analyst,Mental health counseling,62133000_21101400_00000000
Benefit Plan Consulting,OOA,0
Beverage Distributor – Alcoholic,OOA,0
Beverage Distributor – Non-Alcoholic,OOA,0
Bicycle Stores,OOA,0
Billiard Hall,OOA,0
Billing Service,Office administrative services,56111000_43601000_00000000
Bistro,OOA,0
Black Car Service,OOA,0
Blind / Window Shades Store,Window Treatment Stores,44229100_11101100_00000002
Boat Dealers,OOA,0
Boats – Other Than Jet Skis Dealer,OOA,0
Bookkeepers,Bookkeeping,54121900_43303100_00000000
Books & Magazines Distributor,OOA,0
Botanical Gardens / Horticulture Societies,OOA,0
Bowling Lane,OOA,0
Brake Install / Repair,OOA,0
"Brass, Copper & Pewter Specialty Items Distributor",OOA,0
Breweries,OOA,0
Brewpub,OOA,0
Bridal Shop,Bridal Shops,44819000_11101100_00000001
Broadcasting Radio & TV,Radio station (no antenna/tower),51511200_11102100_01000000
Buffet,OOA,0
Building Inspection,Building Inspection,54135000_47401100_00000000
Building Materials Dealer,OOA,0
Burial Caskets / Coffins / Shipping Cases Store,OOA,0
Bus Dealer,OOA,0
Business & Secretarial School,OOA,0
Business Association (Non Profit),Business non profit,81391000_11203300_01000000
Business School or College,OOA,0
"Butane, Propane or other Liquified Gas Sales",OOA,0
Cable or Subscription Television Companies,OOA,0
Cable or Subscription TV Company,OOA,0
Cafeteria,OOA,0
Cake /Cookie Baker,Bakery shops,72251300_51301100_00000000
Cake Decorating Supplies Store,Hobby Supply Stores,45399800_11101100_00000005
Calligraphy,Graphic design,54143000_27102400_00000000
Camera Repair,Electronics (consumer) install & repair,81121100_49909900_00010000
Cameras & Photo Supplies Distributor,OOA,0
Candle Shop,Candle Shops,45399800_11101100_00000002
Candy Distributor without Cooking,OOA,0
Candy or Confectionery Store (Without Cooking),Candy & Confectionery Stores,44529200_11101100_00000001
Cannabis Dispensary,OOA,0
Car Leasing,OOA,0
Car Rental,OOA,0
Car Wash – Full Service,OOA,0
"Cards, Stationary & Office Supplies","Gift, Greeting Card Novelty, & Souvenirs",45322000_11101100_00000004
Career Coach,Life/career/executive coaching,54161100_11101100_00000000
Carpentry Services,Carpentry (interior only),23835000_47203100_01000100
Carpet or Upholstery Cleaning,"Carpet, rug, furniture, or upholstery cleaning (customer’s premises only)",56174000_51601100_00010000
"Carpets, Rugs & Floor Covering Store",Floor Covering Stores,44221000_11101100_00000000
Casino,OOA,0
Casino Transportation,OOA,0
Caterer,Catering services,72232000_11101100_00000000
Cattle Feedlots,OOA,0
Cattle Ranching and Farming,OOA,0
Ceiling or Wall Installation – Metal,OOA,0
Cell Phones Store,Cell Phone stores,44314200_11101100_00000002
Cemeteries – Associated with a church,OOA,0
Cemeteries – Independent for Profit,OOA,0
Ceramics,Sculptor,71151000_89990100_00000000
Ceramics School,"Training (business, vocational or life skills)",61169900_13115100_01000000
Chambers of Commerce,Chamber of commerce,81391000_11915100_00000000
Charitable Organization,Charitable foundation,81321100_11203300_00000000
Charter Bus,OOA,0
Chicken Egg Production,OOA,0
Child Day Car Center (Not for Profit),OOA,0
Child Day Care Center (For Profit),OOA,0
Child Overnight Camps,OOA,0
Chimney Cleaning,Chimney construction & maintenance,23814000_47202100_02000000
Chiropractors,Chiropractor,62131000_29101100_00000000
Church Supplies Store,Church Supply Stores,42349000_11101100_00000000
Churches,OOA,0
Churches & other Houses of Worship,OOA,0
Citrus Groves,OOA,0
Civic Association (Non Profit),Civic non profit,81391000_11203300_02000000
Claims Adjusters: Independent or Public,Claims adjusting,52429100_13103100_00000000
Cleaning Exterior Building Surfaces,Exterior cleaning services,56179000_37201900_02000200
Clock Store,Clock Stores,44831000_11101100_00000001
Clothing Distributor – Infants & Childrens Wear,OOA,0
Clothing Distributor – Ladies & Girls,OOA,0
Clothing Distributor – Men’s & Boy’s Clothing,OOA,0
Clothing Store – Infants and Childrens,Children's & Infants Clothing Stores,44813000_11101100_00000000
Clothing Store – Maternity,Maternity Shops,44812000_11101100_00000001
Clothing Store – Mens & Boys,Men's Clothing Stores,44811000_11101100_00000000
Clothing Store – Sports,Sports Apparel & Accessories Stores,44819000_11101100_00000005
Clothing Store – Uniform,Uniform Stores,44819000_11101100_00000006
Clothing Store – Womens and Girls,Women's Clothing Stores,44812000_11101100_00000002
"Clowns, Magicians, Entertainers (Excluding Bands)",Artists,71151000_27101000_00000000
"Club – Country, Golf, Fishing or Yacht",OOA,0
